date, pm25, pm10, o3, no2, so2, co
3/29/2019,167,89,39,38,7,20
3/30/2019,165,105,46,26,5,13
3/31/2019,166,58,48,27,6,13
4/1/2019,136,87,66,35,8,12
4/2/2019,142,62,36,34,8,16
4/3/2019,133,44,56,23,4,11
4/4/2019,114,78,52,42,5,13
4/5/2019,154,53,46,24,3,10
4/6/2019,122,72,63,36,6,11
4/7/2019,133,83,75,41,10,13
4/8/2019,148,77,64,33,7,13
4/9/2019,137,42,34,15,6,10
4/10/2019,94,32,31,11,3,9
4/11/2019,96,58,40,22,3,8
4/12/2019,130,54,59,22,6,10
4/13/2019,109,68,47,32,8,12
4/14/2019,129,75,48,25,4,9
4/15/2019,121,62,74,26,5,9
4/16/2019,122,53,49,19,3,7
4/17/2019,114,68,67,31,3,9
4/18/2019,117,74,53,33,11,13
4/19/2019,126,65,60,21,4,12
4/20/2019,137,77,88,20,6,17
,,,,,,
1/1/2020, ,65,7,29,7,12
1/2/2020,136,81,4,24,4,11
1/3/2020,165,86,5,25,3,9
1/4/2020,182,104,3,27,3,13
1/5/2020,194,82,2,22,4,14
1/6/2020,165,29,5,21,3,14
1/7/2020,70,23,19,20,2,13
1/8/2020,71,49,21,20,5,12
1/9/2020,129,22,19,18,3,8
1/10/2020,71,31,14,16,2,8
1/11/2020,105,39,14,19,2,7
1/12/2020,119,70,15,33,4,15
1/13/2020,163,58,24,27,4,11
1/14/2020,145,89,32,22,5,13
1/15/2020,187,77,28,22,5,14
1/16/2020,177,54,18,15,2,9
1/17/2020,159,46,19,19,3,8
1/18/2020,142,61,26,29,5,13
1/19/2020,158,85,32,27,4,11
1/20/2020,184,95,25,44,5,18
1/21/2020,186,79,23,26,4,13
1/22/2020,176,73,21,17,3,11
1/23/2020,173,71,21,12,3,12
1/24/2020,174,39,28,7,2,5
1/25/2020,116,46,23,7,2,7
1/26/2020,131,32,30,6,3,5
1/27/2020,104,45,28,6,2,8
1/28/2020,137,55,33,9,2,7
1/29/2020,154,54,35,15,4,7
1/30/2020,154,55,42,20,4,8
1/31/2020,153,68,45,22,5,10
2/1/2020,168,63,40,23,6,11
2/2/2020,164,61,31,23,4,9
2/3/2020,160,67,40,20,6,12
2/4/2020,166,67,46,26,6,10
2/5/2020,166,80,39,25,8,15
2/6/2020,184,47,22,10,4,12
2/7/2020,122,20,19,6,2,7
2/8/2020,81,28,23,10,3,8
2/9/2020,93,36,34,13,3,9
2/10/2020,109,45,25,20,5,10
2/11/2020,141,36,24,10,4,11
2/12/2020,113,34,23,15,5,11
2/13/2020,105,36,21,14,6,14
2/14/2020,105,39,19,10,5,14
2/15/2020,101,27,23,6,2,10
2/16/2020,83,23,33,7,3,8
2/17/2020,69,26,36,13,3,8
2/18/2020,72,29,43,17,5,10
2/19/2020,89,34,37,13,7,11
2/20/2020,100,49,42,20,6,14
2/21/2020,128,49,33,14,4,11
2/22/2020,140,53,42,14,6,13
2/23/2020,144,60,43,15,8,12
2/24/2020,128,55,43,12,9,14
2/25/2020,131,72,43,15,4,14
2/26/2020,160,57,27,9,4,16
2/27/2020,147,46,26,12,5,13
2/28/2020,123,17,17,9,3,13
2/29/2020,66,20,36,11,4,14
3/1/2020,83,39,34,8,3,12
3/2/2020,111,39,29,10,5,13
3/3/2020,106,29,23,10,2,10
3/4/2020,93,41,43,15,6,12
3/5/2020,124,55,52,15,6,9
3/6/2020,155,49,34,12,9,9
3/7/2020,146,44,44,14,6,12
3/8/2020,130,34,31,14,7,13
3/9/2020,115,49,37,8,3,9
3/10/2020,146,49,40,11,3,8
3/11/2020,138,61,46,20,6,10
3/12/2020,138,58,30,19,13,13
3/13/2020,153,74,33,16,3,10
3/14/2020,157,65,45,11,4,8
3/15/2020,148,67,52,19,4,6
3/16/2020,107,68,41,22,8,11
3/17/2020,142,64,59,25,6,9
3/18/2020,142,62,49,16,6,8
3/19/2020,136,57,57,19,5,8
3/20/2020,113,76,62,18,10,8
3/21/2020,111,62,36,19,8,14
3/22/2020,139,70,46,9,4,11
3/23/2020,145,64,66,17,8,14
